id,Nationality,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2
130,Refugee - Other,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,2,1,0,0,0,0,0,1,0,0
131,Republic of Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
132,Romania,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,1,1,1,0,1,3,0,1,1,6,1,1
133,Russia,0,1,2,2,3,3,1,1,0,0,0,3,0,1,4,1,3,1,0,1,1,0,2,3,0,2,1,1,7,2,1,2
134,Rwanda,0,0,0,0,1,0,0,0,0,3,1,0,0,0,2,2,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0
135,Sao Tome & Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Saudi Arabia,0,0,0,0,1,0,0,1,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
137,Senegal,0,1,0,2,2,0,2,0,0,3,2,3,0,3,3,0,0,1,1,1,0,0,2,1,0,2,0,0,0,0,2,1
138,Seychelles,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Sierra Leone,3,6,5,8,10,4,9,15,10,8,4,30,16,11,10,12,3,6,5,4,8,10,3,6,5,7,3,7,7,6,9,10
140,Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
141,Slovakia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
142,Somalia,0,2,3,2,4,3,3,3,3,8,0,8,3,5,7,2,3,7,2,6,6,6,8,0,4,1,0,4,6,6,6,3
143,South Africa,2,1,1,5,5,8,7,2,5,5,8,34,21,12,10,7,4,1,9,9,2,14,15,11,5,6,8,10,12,3,7,8
144,South Korea (Rep of Korea),0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,2,3,0
145,South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
146,Spain,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,1,0,0,0,0,0,0,0,0,5,3,0,0,1,0,2
147,Sri Lanka,1,12,3,6,12,14,16,12,10,10,10,171,88,56,35,33,30,19,16,10,15,19,13,22,18,9,14,19,11,28,18,12
148,St Kitts & Nevis,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
149,St Lucia,2,2,1,1,1,2,3,3,1,3,1,6,4,4,4,10,1,4,2,2,1,2,2,3,3,1,1,4,1,4,2,1
150,St Vincent,0,2,0,0,0,0,1,1,1,1,1,1,1,2,0,2,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0
151,Stateless,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
152,Stateless Person (Article 1 of 1954 Convention),0,0,0,0,0,1,0,0,0,1,0,7,2,1,0,0,0,0,0,1,0,1,1,1,0,2,1,0,0,0,4,1
153,Sudan,2,0,2,0,2,0,0,3,0,0,0,5,4,1,4,0,0,2,7,0,4,5,2,1,4,2,2,6,5,0,7,6
154,Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
155,Sweden,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
156,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
157,Syria,0,5,0,6,8,0,3,1,1,1,0,21,1,5,1,0,1,0,5,2,0,0,3,1,8,8,10,3,23,4,8,6
158,Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1
159,Tajikistan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Tanzania,1,3,2,2,5,1,2,2,7,6,3,15,0,1,5,5,6,2,2,2,0,1,0,1,0,0,5,4,2,6,4,2
161,Thailand,0,0,1,3,4,0,2,1,4,3,2,12,2,0,3,1,1,1,2,1,2,2,2,2,5,1,1,2,2,2,1,3
162,The Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
163,The Gambia,1,8,9,9,7,10,4,14,4,8,15,21,13,13,6,8,6,9,6,4,10,16,3,2,10,7,1,15,5,10,2,7
164,Togo,0,1,0,0,0,0,1,0,0,1,1,1,3,0,2,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0
165,Tonga,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Trinidad & Tobago,2,1,1,1,2,0,3,2,4,4,3,10,5,3,0,1,0,1,1,0,1,2,1,3,1,3,2,2,7,1,3,1
167,Tunisia,0,1,0,0,2,0,0,0,1,1,3,10,3,0,0,1,0,1,0,3,0,0,0,1,1,1,1,2,3,3,3,1
168,Turkey,0,1,1,0,6,4,5,2,5,4,2,7,2,2,10,8,4,4,5,1,2,4,18,10,8,15,9,7,6,10,21,2
169,Turkmenistan,0,0,0,0,0,1,2,0,0,1,0,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
170,Uganda,5,7,6,5,6,15,5,12,9,20,2,25,12,4,5,10,7,5,3,2,3,4,2,2,3,1,1,2,8,2,1,2
171,Ukraine,0,1,1,1,0,0,0,0,0,0,0,5,0,2,1,2,1,3,4,2,4,3,5,5,3,4,5,10,1,6,1,4
172,Union of Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
173,United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
174,United Nations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
175,United States,5,3,7,1,9,8,4,1,0,3,5,22,17,6,6,4,9,6,7,3,14,6,9,10,3,14,7,3,6,7,6,9
176,Unspecified Nationality,0,2,2,0,0,1,1,0,3,0,0,3,2,0,0,0,1,0,0,1,0,0,1,0,2,0,1,1,0,3,5,0
177,Uzbekistan,0,0,0,1,0,0,0,1,0,0,1,10,6,2,1,1,0,1,1,0,0,0,0,1,0,7,0,2,1,0,0,0
178,Venezuela,0,0,0,0,0,0,1,1,0,0,0,3,1,0,1,0,0,1,2,0,1,0,0,0,0,0,2,0,0,1,1,0
179,Vietnam,0,5,2,7,3,0,1,6,2,2,1,13,8,7,18,8,3,2,2,5,0,3,0,3,2,3,3,4,7,1,4,0
180,Yemen,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,4,1,2,1,5,1,9,7,5,1,2,3,2
181,Zambia,0,5,2,3,1,3,0,9,5,1,2,8,13,5,2,2,2,2,1,1,3,2,1,6,0,7,1,1,3,2,1,4
182,Zimbabwe,3,14,9,16,11,11,24,9,4,10,6,46,30,14,18,11,8,6,9,5,19,6,11,16,9,16,5,18,17,19,17,23
